iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ROU,2017-01-01 00:00:00,2017-12-31 00:00:00,aluminum,co2,116375,tonnes,annual,2022-10-24 09:45:16.785441,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.701384,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.701426,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.701443,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.7015,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.701521,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.701843,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.70186,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.701875,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.701892,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.701911,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.702161,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.702178,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.702192,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.702213,
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.702228,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.702628,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.702648,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.702659,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.702672,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.702681,
ALA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.702918,
ALA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.702929,
ALA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.702938,
ALA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.702948,
ALA,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.702958,
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.703105,
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.703116,
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.703124,
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.703137,
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.703147,
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.703287,
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.703297,
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.703306,
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,,tonnes,annual,2022-10-24 09:45:16.703316,
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,,tonnes,annual,2022-10-24 09:45:16.703325,
ARE,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,3687910,tonnes,annual,2022-10-24 09:45:16.70346,
ARE,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.70347,
ARE,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.703479,
ARE,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,4844869,tonnes,annual,2022-10-24 09:45:16.703487,
ARE,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,4519932,tonnes,annual,2022-10-24 09:45:16.703495,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,556410,tonnes,annual,2022-10-24 09:45:16.703623,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.703633,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.703644,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_100yr,842226,tonnes,annual,2022-10-24 09:45:16.703653,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2e_20yr,761851,tonnes,annual,2022-10-24 09:45:16.703661,
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,co2,,tonnes,annual,2022-10-24 09:45:16.703788,
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,ch4,,tonnes,annual,2022-10-24 09:45:16.703798,
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,aluminum,n2o,,tonnes,annual,2022-10-24 09:45:16.70381,
