iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ISR,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_20yr,0,tonnes,annual,2022-08-29 16:13:29.810089,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,181579,tonnes,annual,2022-08-29 16:13:29.701369,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,181579,tonnes,annual,2022-08-29 16:13:29.701413,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,181579,tonnes,annual,2022-08-29 16:13:29.70142,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,192296,tonnes,annual,2022-08-29 16:13:29.701775,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.701402,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,192296,tonnes,annual,2022-08-29 16:13:29.701794,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,192296,tonnes,annual,2022-08-29 16:13:29.701801,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,206561,tonnes,annual,2022-08-29 16:13:29.701988,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,206561,tonnes,annual,2022-08-29 16:13:29.702009,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,206561,tonnes,annual,2022-08-29 16:13:29.702015,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,212376,tonnes,annual,2022-08-29 16:13:29.702181,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,212376,tonnes,annual,2022-08-29 16:13:29.7022,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,212376,tonnes,annual,2022-08-29 16:13:29.702239,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,219381,tonnes,annual,2022-08-29 16:13:29.70241,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,219381,tonnes,annual,2022-08-29 16:13:29.702429,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,219381,tonnes,annual,2022-08-29 16:13:29.702435,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2,227434,tonnes,annual,2022-08-29 16:13:29.702591,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_100yr,227434,tonnes,annual,2022-08-29 16:13:29.70261,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_20yr,227434,tonnes,annual,2022-08-29 16:13:29.702617,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2,238253.9351,tonnes,annual,2022-08-29 16:13:29.702771,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_100yr,238253.9351,tonnes,annual,2022-08-29 16:13:29.702793,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_20yr,238253.9351,tonnes,annual,2022-08-29 16:13:29.702799,
GUY,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,7340,tonnes,annual,2022-08-29 16:13:29.702947,
GUY,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,7340,tonnes,annual,2022-08-29 16:13:29.702966,
GUY,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,7340,tonnes,annual,2022-08-29 16:13:29.702972,
GUY,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,7350,tonnes,annual,2022-08-29 16:13:29.70312,
GUY,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,7350,tonnes,annual,2022-08-29 16:13:29.70314,
GUY,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,7350,tonnes,annual,2022-08-29 16:13:29.703147,
GUY,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,7912,tonnes,annual,2022-08-29 16:13:29.703302,
GUY,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,7912,tonnes,annual,2022-08-29 16:13:29.703326,
GUY,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,7912,tonnes,annual,2022-08-29 16:13:29.703333,
GUY,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,7801,tonnes,annual,2022-08-29 16:13:29.703482,
GUY,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,7801,tonnes,annual,2022-08-29 16:13:29.703501,
GUY,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,7801,tonnes,annual,2022-08-29 16:13:29.70351,
GUY,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,7795,tonnes,annual,2022-08-29 16:13:29.70366,
GUY,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,7795,tonnes,annual,2022-08-29 16:13:29.703678,
GUY,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,7795,tonnes,annual,2022-08-29 16:13:29.703684,
GUY,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2,7553,tonnes,annual,2022-08-29 16:13:29.703833,
GUY,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_100yr,7553,tonnes,annual,2022-08-29 16:13:29.70385,
GUY,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_20yr,7553,tonnes,annual,2022-08-29 16:13:29.703856,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2,7854.325783,tonnes,annual,2022-08-29 16:13:29.704005,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_100yr,7854.325783,tonnes,annual,2022-08-29 16:13:29.704024,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.702002,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.702194,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.702422,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.702604,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.702782,
GUY,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.70296,
GUY,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.703134,
GUY,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.70332,
GUY,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.703495,
GUY,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.703671,
GUY,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.703844,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,n2o,0,tonnes,annual,2022-08-29 16:13:29.704018,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_20yr,7854.325783,tonnes,annual,2022-08-29 16:13:29.70403,
SUR,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,7840,tonnes,annual,2022-08-29 16:13:29.704179,
SUR,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,7840,tonnes,annual,2022-08-29 16:13:29.704205,
SUR,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,7840,tonnes,annual,2022-08-29 16:13:29.70421,
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,0,tonnes,annual,2022-08-29 16:13:29.704356,
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,0,tonnes,annual,2022-08-29 16:13:29.704374,
SUR,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,0,tonnes,annual,2022-08-29 16:13:29.70438,
SUR,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,0,tonnes,annual,2022-08-29 16:13:29.704532,
