iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,2316156,tonnes,annual,2022-08-09 15:10:25.390658,2022-08-25 00:18:07.256348
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,2316156,tonnes,annual,2022-08-09 15:10:25.390673,2022-08-25 00:18:07.256348
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,2316156,tonnes,annual,2022-08-09 15:10:25.390678,2022-08-25 00:18:07.256348
BOL,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,1905828,tonnes,annual,2022-08-09 15:10:25.393311,2022-08-25 00:18:09.100918
COG,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,387324,tonnes,annual,2022-08-09 15:10:25.394814,2022-08-25 00:18:09.240359
COG,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,387324,tonnes,annual,2022-08-09 15:10:25.394829,2022-08-25 00:18:09.240359
COG,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,387324,tonnes,annual,2022-08-09 15:10:25.394834,2022-08-25 00:18:09.240359
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,3195360,tonnes,annual,2022-08-09 15:10:25.396184,2022-08-25 00:18:09.354568
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,3195360,tonnes,annual,2022-08-09 15:10:25.396199,2022-08-25 00:18:09.354568
DOM,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,3195360,tonnes,annual,2022-08-09 15:10:25.396204,2022-08-25 00:18:09.354568
ERI,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,116196,tonnes,annual,2022-08-09 15:10:25.396524,2022-08-25 00:18:09.354568
ERI,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,116196,tonnes,annual,2022-08-09 15:10:25.396539,2022-08-25 00:18:09.354568
ERI,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,116196,tonnes,annual,2022-08-09 15:10:25.396544,2022-08-25 00:18:09.354568
EST,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,321410,tonnes,annual,2022-08-09 15:10:25.39678,2022-08-25 00:18:09.354568
EST,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,321410,tonnes,annual,2022-08-09 15:10:25.396795,2022-08-25 00:18:09.354568
EST,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,321410,tonnes,annual,2022-08-09 15:10:25.3968,2022-08-25 00:18:09.354568
FJI,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,20232,tonnes,annual,2022-08-09 15:10:25.397035,2022-08-25 00:18:09.354568
GAB,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_100yr,133248,tonnes,annual,2022-08-09 15:10:25.397476,2022-08-25 00:18:09.354568
GAB,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,133248,tonnes,annual,2022-08-09 15:10:25.397481,2022-08-25 00:18:09.354568
GHA,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2e_20yr,1112496,tonnes,annual,2022-08-09 15:10:25.39783,2022-08-25 00:18:09.495046
JAM,2015-01-01 00:00:00,2015-12-31 00:00:00,cement,co2,683136,tonnes,annual,2022-08-09 15:10:25.40041,2022-08-25 00:18:09.613345
