iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2,1712766,tonnes,annual,2022-08-09 15:10:20.255052,2022-09-02 22:50:27.436223
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_100yr,1712766,tonnes,annual,2022-08-09 15:10:20.255069,2022-09-02 22:50:27.436223
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_20yr,1712766,tonnes,annual,2022-08-09 15:10:20.255073,2022-09-02 22:50:27.436223
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2,308820,tonnes,annual,2022-08-09 15:10:20.255573,2022-09-02 22:50:27.737116
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_100yr,308820,tonnes,annual,2022-08-09 15:10:20.255588,2022-09-02 22:50:27.737116
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_20yr,308820,tonnes,annual,2022-08-09 15:10:20.255593,2022-09-02 22:50:27.737116
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2,1256193,tonnes,annual,2022-08-09 15:10:20.255658,2022-09-02 22:50:27.737116
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_100yr,1256193,tonnes,annual,2022-08-09 15:10:20.255674,2022-09-02 22:50:27.737116
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_20yr,1256193,tonnes,annual,2022-08-09 15:10:20.255679,2022-09-02 22:50:27.737116
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_20yr,1741694,tonnes,annual,2022-08-09 15:10:20.256368,2022-09-02 22:50:28.105613
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2,2666219,tonnes,annual,2022-08-09 15:10:20.256778,2022-09-02 22:50:28.384387
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_100yr,2666219,tonnes,annual,2022-08-09 15:10:20.256793,2022-09-02 22:50:28.384387
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,chemicals,co2e_20yr,2666219,tonnes,annual,2022-08-09 15:10:20.256798,2022-09-02 22:50:28.384387
