iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BWA,2021-01-01 00:00:00,2021-12-31 00:00:00,copper-mining,ch4,0,tonnes,annual,2022-08-29 16:13:14.726697,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2,10039,tonnes,annual,2022-08-09 15:54:36.13943,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2e_100yr,10039,tonnes,annual,2022-08-09 15:54:36.139477,
BWA,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2e_20yr,10039,tonnes,annual,2022-08-09 15:54:36.139482,
BWA,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2,13657,tonnes,annual,2022-08-09 15:54:36.139921,
BWA,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_100yr,13657,tonnes,annual,2022-08-09 15:54:36.139966,
BWA,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_20yr,13657,tonnes,annual,2022-08-09 15:54:36.139971,
BWA,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2,27384,tonnes,annual,2022-08-09 15:54:36.14011,
BWA,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2e_100yr,27384,tonnes,annual,2022-08-09 15:54:36.140129,
BWA,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2e_20yr,27384,tonnes,annual,2022-08-09 15:54:36.140136,
BWA,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2,27418,tonnes,annual,2022-08-09 15:54:36.140227,
BWA,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_100yr,27418,tonnes,annual,2022-08-09 15:54:36.140244,
BWA,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_20yr,27418,tonnes,annual,2022-08-09 15:54:36.140249,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2,27323,tonnes,annual,2022-08-09 15:54:36.14033,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_100yr,27323,tonnes,annual,2022-08-09 15:54:36.140346,
BWA,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_20yr,27323,tonnes,annual,2022-08-09 15:54:36.140351,
BWA,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2,27673,tonnes,annual,2022-08-09 15:54:36.140426,
BWA,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2e_100yr,27673,tonnes,annual,2022-08-09 15:54:36.140444,
BWA,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2e_20yr,27673,tonnes,annual,2022-08-09 15:54:36.140449,
COG,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2,13200,tonnes,annual,2022-08-09 15:54:36.140523,
