iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
PSE,2018-01-01 00:00:00,2018-12-31 00:00:00,cropland-fires,co2,1551.8224850688002,tonnes,annual,2022-08-09 15:18:51.460064,2022-10-11 06:39:21.192964
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,cropland-fires,co2,25871.822411500805,tonnes,annual,2022-08-09 15:18:51.338749,2022-10-11 06:39:21.192964
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2,3695607.5400054534,tonnes,annual,2022-08-09 15:18:51.339924,2022-10-11 06:39:21.192964
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,ch4,18859.72256138883,tonnes,annual,2022-08-09 15:18:51.339929,2022-10-11 06:39:21.192964
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,n2o,224.52050668319993,tonnes,annual,2022-08-09 15:18:51.339933,2022-10-11 06:39:21.192964
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2e_100yr,4283087.897792732,tonnes,annual,2022-08-09 15:18:51.339941,2022-10-11 06:39:21.192964
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2e_20yr,5288311.11031476,tonnes,annual,2022-08-09 15:18:51.339945,2022-10-11 06:39:21.192964
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,cropland-fires,n2o,393.3689555174405,tonnes,annual,2022-08-09 15:18:51.339847,2022-10-11 06:39:21.192964
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,cropland-fires,co2e_100yr,7504142.216823992,tonnes,annual,2022-08-09 15:18:51.339851,2022-10-11 06:39:21.192964
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,cropland-fires,co2e_20yr,9265333.704466667,tonnes,annual,2022-08-09 15:18:51.339856,2022-10-11 06:39:21.192964
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2,0,tonnes,annual,2022-08-09 15:18:51.341358,2022-10-11 06:39:21.192964
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,ch4,0,tonnes,annual,2022-08-09 15:18:51.341362,2022-10-11 06:39:21.192964
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,n2o,0,tonnes,annual,2022-08-09 15:18:51.341367,2022-10-11 06:39:21.192964
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2e_100yr,0,tonnes,annual,2022-08-09 15:18:51.341372,2022-10-11 06:39:21.192964
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2e_20yr,0,tonnes,annual,2022-08-09 15:18:51.341378,2022-10-11 06:39:21.192964
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,co2,47220.6168032256,tonnes,annual,2022-08-09 15:18:51.341976,2022-10-11 06:39:21.192964
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,ch4,240.98006145023996,tonnes,annual,2022-08-09 15:18:51.34198,2022-10-11 06:39:21.192964
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,cropland-fires,n2o,2.8688102553599992,tonnes,annual,2022-08-09 15:18:51.341984,2022-10-11 06:39:21.192964
