iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,electricity-generation,co2,126000,tonnes,annual,2022-08-09 15:10:10.068218,2022-09-01 23:47:27.513956
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,electricity-generation,co2e_100yr,126000,tonnes,annual,2022-08-09 15:10:10.068235,2022-09-01 23:47:27.513956
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,electricity-generation,co2e_20yr,126000,tonnes,annual,2022-08-09 15:10:10.06824,2022-09-01 23:47:27.513956
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,electricity-generation,co2,129000,tonnes,annual,2022-08-09 15:10:10.068311,2022-09-01 23:47:27.513956
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,electricity-generation,co2e_100yr,129000,tonnes,annual,2022-08-09 15:10:10.068326,2022-09-01 23:47:27.513956
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,electricity-generation,co2e_20yr,129000,tonnes,annual,2022-08-09 15:10:10.068331,2022-09-01 23:47:27.513956
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,electricity-generation,co2,149000,tonnes,annual,2022-08-09 15:10:10.068397,2022-09-01 23:47:27.513956
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,electricity-generation,co2e_100yr,149000,tonnes,annual,2022-08-09 15:10:10.068412,2022-09-01 23:47:27.513956
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,electricity-generation,co2e_20yr,149000,tonnes,annual,2022-08-09 15:10:10.068416,2022-09-01 23:47:27.513956
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,electricity-generation,co2,168000,tonnes,annual,2022-08-09 15:10:10.068483,2022-09-01 23:47:27.513956
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,electricity-generation,co2e_100yr,168000,tonnes,annual,2022-08-09 15:10:10.068497,2022-09-01 23:47:27.513956
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,electricity-generation,co2e_20yr,168000,tonnes,annual,2022-08-09 15:10:10.068502,2022-09-01 23:47:27.513956
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,electricity-generation,co2,152000,tonnes,annual,2022-08-09 15:10:10.06857,2022-09-01 23:47:27.513956
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,electricity-generation,co2e_100yr,152000,tonnes,annual,2022-08-09 15:10:10.068585,2022-09-01 23:47:27.513956
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,electricity-generation,co2e_20yr,152000,tonnes,annual,2022-08-09 15:10:10.06859,2022-09-01 23:47:27.513956
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,electricity-generation,co2,129000,tonnes,annual,2022-08-09 15:10:10.068655,2022-09-01 23:47:27.513956
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,electricity-generation,co2e_100yr,129000,tonnes,annual,2022-08-09 15:10:10.06867,2022-09-01 23:47:27.513956
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,electricity-generation,co2e_20yr,129000,tonnes,annual,2022-08-09 15:10:10.068675,2022-09-01 23:47:27.513956
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,electricity-generation,co2,128000,tonnes,annual,2022-09-01 16:47:28.628287,2022-09-28 14:48:03.824135
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,electricity-generation,co2,6198000,tonnes,annual,2022-08-09 15:10:10.008656,2022-09-01 23:47:27.513956
