iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,ch4,0,tonnes,annual,2022-08-29 16:13:42.821638,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,6983886.467,tonnes,annual,2022-08-29 16:13:42.821622,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,6983886.467,tonnes,annual,2022-08-29 16:13:42.821666,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,6983886.467,tonnes,annual,2022-08-29 16:13:42.821681,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,15522.83423,tonnes,annual,2022-08-29 16:13:42.825824,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,n2o,0,tonnes,annual,2022-08-29 16:13:42.82165,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,15522.83423,tonnes,annual,2022-08-29 16:13:42.825874,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,15522.83423,tonnes,annual,2022-08-29 16:13:42.825888,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,0,tonnes,annual,2022-08-29 16:13:42.829065,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,0,tonnes,annual,2022-08-29 16:13:42.829106,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,0,tonnes,annual,2022-08-29 16:13:42.829119,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,14783.5472,tonnes,annual,2022-08-29 16:13:42.832934,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,14783.5472,tonnes,annual,2022-08-29 16:13:42.832979,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,14783.5472,tonnes,annual,2022-08-29 16:13:42.832992,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,3115501.027,tonnes,annual,2022-08-29 16:13:42.836527,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,3115501.027,tonnes,annual,2022-08-29 16:13:42.836567,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,3115501.027,tonnes,annual,2022-08-29 16:13:42.836581,
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,342.6146726,tonnes,annual,2022-08-29 16:13:42.838797,
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,342.6146726,tonnes,annual,2022-08-29 16:13:42.838812,
BTN,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,342.6146726,tonnes,annual,2022-08-29 16:13:42.838817,
CAN,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,434695.8149,tonnes,annual,2022-08-29 16:13:42.839836,
CAN,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,434695.8149,tonnes,annual,2022-08-29 16:13:42.839851,
