iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MLI,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MKD,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,192.5,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:03.260966
MLT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MMR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MNE,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MNG,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MNG,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,3510.2000000000003,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:03.623467
MNP,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MNP,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
MNP,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
MNP,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
MNP,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
MOZ,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MRT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MSR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MSR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
MSR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
MSR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
MSR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
MTQ,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MUS,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MUS,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,17.8,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:03.623467
MWI,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MYS,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MYT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
MYT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
MYT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
MYT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
MYT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
NAM,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NCL,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NAM,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,135755.09999999998,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.044261
NER,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NFK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NFK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
NFK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
NFK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
NFK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
NGA,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NIC,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NIU,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NIU,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0.3,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.044261
NIU,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,34.6,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.044261
NIU,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,2985.6,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.044261
NLD,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NOR,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NPL,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NRU,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
NZL,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
OMN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PAK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PAN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PAK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,6083.1,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.584873
PCN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PCN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
PCN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
PCN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
PCN,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
PER,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PHL,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PLW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PLW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
PLW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
PLW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
PLW,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
PNG,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
POL,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PRI,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PRK,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PRT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PRY,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
PRT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_20yr,3991582.8,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.584873
PRT,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2e_100yr,1519156.5,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.584873
PRY,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,n2o,485.59999999999997,tonnes,,2022-09-06 12:39:52.76017,2022-09-14 20:50:04.99261
PSE,2020-01-01 00:00:00,2020-12-31 00:00:00,manure-management,co2,0,tonnes,,2022-09-06 12:39:52.76017,
