iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-refining,n2o,0,tonnes,annual,2022-08-09 15:09:53.10921,
VCT,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.260393,
VCT,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.260398,
VGB,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,0,tonnes,annual,2022-08-09 15:09:53.260985,
VGB,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,0,tonnes,annual,2022-08-09 15:09:53.26099,
VGB,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.260998,
VGB,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.261005,
VGB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2,0,tonnes,annual,2022-08-09 15:09:53.261073,
VGB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,ch4,0,tonnes,annual,2022-08-09 15:09:53.261078,
VGB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.261088,
VGB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.261092,
VGB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2,0,tonnes,annual,2022-08-09 15:09:53.261161,
VGB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,ch4,0,tonnes,annual,2022-08-09 15:09:53.261165,
VGB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.261174,
VGB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.261178,
VGB,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2,0,tonnes,annual,2022-08-09 15:09:53.261247,
VGB,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,ch4,0,tonnes,annual,2022-08-09 15:09:53.261251,
VGB,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.261262,
VGB,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.261266,
VGB,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-refining,co2,0,tonnes,annual,2022-08-09 15:09:53.261334,
VGB,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-refining,ch4,0,tonnes,annual,2022-08-09 15:09:53.261339,
VGB,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,0,tonnes,annual,2022-08-09 15:09:53.26135,
VGB,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,0,tonnes,annual,2022-08-09 15:09:53.261355,
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2,9427823.955,tonnes,annual,2022-08-09 15:09:53.260552,2022-09-13 21:37:49.875399
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,ch4,15546.5913,tonnes,annual,2022-08-09 15:09:53.260556,2022-09-13 21:37:49.875399
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,9916623.164,tonnes,annual,2022-08-09 15:09:53.260569,2022-09-13 21:37:49.875399
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,10733788.36,tonnes,annual,2022-08-09 15:09:53.260574,2022-09-13 21:37:49.875399
VEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2,7842104.33,tonnes,annual,2022-08-09 15:09:53.260639,2022-09-13 21:37:50.246607
VEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,ch4,12931.7212,tonnes,annual,2022-08-09 15:09:53.260643,2022-09-13 21:37:50.246607
VEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,8248689.605,tonnes,annual,2022-08-09 15:09:53.260656,2022-09-13 21:37:50.246607
VEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,8928411.112,tonnes,annual,2022-08-09 15:09:53.260661,2022-09-13 21:37:50.246607
VEN,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2,4411183.686,tonnes,annual,2022-08-09 15:09:53.260726,2022-09-13 21:37:50.574292
VEN,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,ch4,7274.093177,tonnes,annual,2022-08-09 15:09:53.26073,2022-09-13 21:37:50.574292
VEN,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,4639887.903,tonnes,annual,2022-08-09 15:09:53.26074,2022-09-13 21:37:50.574292
VEN,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,5022231.251,tonnes,annual,2022-08-09 15:09:53.260746,2022-09-13 21:37:50.574292
