iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-energy-use,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:25.497854
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-energy-use,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,other-energy-use,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:04.550799
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,other-energy-use,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,other-energy-use,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2021-01-01 00:00:00,2021-12-31 00:00:00,other-energy-use,ch4,,tonnes,,2022-09-07 09:56:37.90632,
XKX,2021-01-01 00:00:00,2021-12-31 00:00:00,other-energy-use,co2e_20yr,,tonnes,,2022-09-07 09:56:37.90632,
XKX,2021-01-01 00:00:00,2021-12-31 00:00:00,other-energy-use,co2e_100yr,,tonnes,,2022-09-07 09:56:37.90632,
LAO,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_100yr,2938262.24031,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:24.504259
LCA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_20yr,13139.194908000009,tonnes,,2022-09-06 12:39:52.76017,2022-10-19 16:06:24.504259
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:59:50.835319
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 19:59:50.835319
ALA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ALA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
ALA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
ALA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
ALA,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
AND,2020-01-01 00:00:00,2020-12-31 00:00:00,other-energy-use,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
