iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
SJM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
SJM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SJM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
SJM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
SJM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
SLB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SLE,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
SLE,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SLV,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SLV,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
SMR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
SMR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SMR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
SMR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
SMR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
SOM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
SOM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SPM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
SPM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SPM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
SPM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
SPM,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
SRB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SRB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
SRB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
SRB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
SRB,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
SSD,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SSD,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
SSD,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
STP,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,
STP,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
SUR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
SUR,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,ch4,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
SVN,2019-01-01 00:00:00,2019-12-31 00:00:00,other-fossil-fuel-operations,co2,0,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:03.582563
