iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-manufacturing,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-manufacturing,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:25.497854
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-manufacturing,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-manufacturing,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2016-01-01 00:00:00,2016-12-31 00:00:00,other-manufacturing,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-manufacturing,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-manufacturing,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:18.345732
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-manufacturing,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-manufacturing,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,other-manufacturing,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,other-manufacturing,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,other-manufacturing,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:11.535615
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,other-manufacturing,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,other-manufacturing,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,other-manufacturing,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,other-manufacturing,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,other-manufacturing,co2,,tonnes,,2022-09-06 12:39:52.76017,2022-10-04 20:00:04.550799
