iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,ch4,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_20yr,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2e_100yr,0,tonnes,,2022-09-06 12:39:52.76017,
BHR,2020-01-01 00:00:00,2020-12-31 00:00:00,other-onsite-fuel-usage,co2,0,tonnes,,2022-09-06 12:39:52.76017,
