iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,co2,0,tonnes,annual,2022-08-09 15:10:14.992475,
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2,278400,tonnes,annual,2022-08-09 15:10:15.126751,2022-09-05 18:39:55.894192
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_100yr,278400,tonnes,annual,2022-08-09 15:10:15.126766,2022-09-05 18:39:55.894192
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_20yr,278400,tonnes,annual,2022-08-09 15:10:15.126772,2022-09-05 18:39:55.894192
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2,453217,tonnes,annual,2022-08-09 15:10:15.127264,2022-09-05 18:39:55.894192
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_100yr,453217,tonnes,annual,2022-08-09 15:10:15.127282,2022-09-05 18:39:55.894192
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_20yr,453217,tonnes,annual,2022-08-09 15:10:15.127287,2022-09-05 18:39:55.894192
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2,693428,tonnes,annual,2022-08-09 15:10:15.127352,2022-09-05 18:39:55.894192
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_100yr,693428,tonnes,annual,2022-08-09 15:10:15.127367,2022-09-05 18:39:55.894192
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_20yr,693428,tonnes,annual,2022-08-09 15:10:15.127373,2022-09-05 18:39:55.894192
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2,112320,tonnes,annual,2022-08-09 15:10:15.127616,2022-09-05 18:39:55.894192
