iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.915538,
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,rice-cultivation,ch4,911496.104,tonnes,annual,2022-08-09 14:12:03.915607,
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,rice-cultivation,n2o,0,tonnes,annual,2022-08-09 14:12:03.915629,
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,rice-cultivation,co2e_100yr,24792694.03,tonnes,annual,2022-08-09 14:12:03.915652,
NGA,2015-01-01 00:00:00,2015-12-31 00:00:00,rice-cultivation,co2e_20yr,73648885.2,tonnes,annual,2022-08-09 14:12:03.915714,
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.916526,
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,rice-cultivation,ch4,1441166,tonnes,annual,2022-08-09 14:12:03.916667,
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,rice-cultivation,n2o,0,tonnes,annual,2022-08-09 14:12:03.916684,
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,rice-cultivation,co2e_100yr,39199715.2,tonnes,annual,2022-08-09 14:12:03.916701,
NGA,2016-01-01 00:00:00,2016-12-31 00:00:00,rice-cultivation,co2e_20yr,116446212.8,tonnes,annual,2022-08-09 14:12:03.916723,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.917239,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,rice-cultivation,ch4,1643288.4,tonnes,annual,2022-08-09 14:12:03.917337,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,rice-cultivation,n2o,0,tonnes,annual,2022-08-09 14:12:03.917366,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,rice-cultivation,co2e_100yr,44697444.48,tonnes,annual,2022-08-09 14:12:03.917386,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,rice-cultivation,co2e_20yr,132777702.7,tonnes,annual,2022-08-09 14:12:03.917401,
NGA,2018-01-01 00:00:00,2018-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.917878,
NGA,2018-01-01 00:00:00,2018-12-31 00:00:00,rice-cultivation,ch4,1726718.056,tonnes,annual,2022-08-09 14:12:03.917894,
NGA,2018-01-01 00:00:00,2018-12-31 00:00:00,rice-cultivation,n2o,0,tonnes,annual,2022-08-09 14:12:03.917922,
NGA,2018-01-01 00:00:00,2018-12-31 00:00:00,rice-cultivation,co2e_100yr,46966731.12,tonnes,annual,2022-08-09 14:12:03.917938,
NGA,2018-01-01 00:00:00,2018-12-31 00:00:00,rice-cultivation,co2e_20yr,139518818.9,tonnes,annual,2022-08-09 14:12:03.917952,
NGA,2019-01-01 00:00:00,2019-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.918383,
NGA,2019-01-01 00:00:00,2019-12-31 00:00:00,rice-cultivation,ch4,1551197.44,tonnes,annual,2022-08-09 14:12:03.918398,
NGA,2019-01-01 00:00:00,2019-12-31 00:00:00,rice-cultivation,n2o,0,tonnes,annual,2022-08-09 14:12:03.918411,
NGA,2019-01-01 00:00:00,2019-12-31 00:00:00,rice-cultivation,co2e_100yr,42192570.37,tonnes,annual,2022-08-09 14:12:03.918436,
NGA,2019-01-01 00:00:00,2019-12-31 00:00:00,rice-cultivation,co2e_20yr,125336753.2,tonnes,annual,2022-08-09 14:12:03.918459,
NGA,2020-01-01 00:00:00,2020-12-31 00:00:00,rice-cultivation,co2,0,tonnes,annual,2022-08-09 14:12:03.918862,
NGA,2020-01-01 00:00:00,2020-12-31 00:00:00,rice-cultivation,ch4,1535088.676,tonnes,annual,2022-08-09 14:12:03.918877,
