iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DMA,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2022-08-30 15:44:04.447113,
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2022-08-30 15:44:04.382944,
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:44:04.382972,
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:44:04.382981,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,114662,tonnes,annual,2022-08-30 15:44:04.38474,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,114662,tonnes,annual,2022-08-30 15:44:04.384765,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,114662,tonnes,annual,2022-08-30 15:44:04.384773,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,823,tonnes,annual,2022-08-30 15:44:04.386425,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,823,tonnes,annual,2022-08-30 15:44:04.386451,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,823,tonnes,annual,2022-08-30 15:44:04.386459,
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,55,tonnes,annual,2022-08-30 15:44:04.388135,
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,55,tonnes,annual,2022-08-30 15:44:04.388164,
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,55,tonnes,annual,2022-08-30 15:44:04.388173,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,6501,tonnes,annual,2022-08-30 15:44:04.389811,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,6501,tonnes,annual,2022-08-30 15:44:04.389838,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,6501,tonnes,annual,2022-08-30 15:44:04.389849,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,1695,tonnes,annual,2022-08-30 15:44:04.391247,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,1695,tonnes,annual,2022-08-30 15:44:04.391269,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,1695,tonnes,annual,2022-08-30 15:44:04.391275,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,7285,tonnes,annual,2022-08-30 15:44:04.392446,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,7285,tonnes,annual,2022-08-30 15:44:04.392463,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,7285,tonnes,annual,2022-08-30 15:44:04.392472,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,54320,tonnes,annual,2022-08-30 15:44:04.394046,
AND,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.382962,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.384756,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.386442,
ATG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.388155,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.389827,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.391259,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,0,tonnes,annual,2022-08-30 15:44:04.392457,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,54320,tonnes,annual,2022-08-30 15:44:04.394071,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,54320,tonnes,annual,2022-08-30 15:44:04.394082,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,33877,tonnes,annual,2022-08-30 15:44:04.395709,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,33877,tonnes,annual,2022-08-30 15:44:04.395734,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,33877,tonnes,annual,2022-08-30 15:44:04.395742,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,110032,tonnes,annual,2022-08-30 15:44:04.397362,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,110032,tonnes,annual,2022-08-30 15:44:04.397388,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,110032,tonnes,annual,2022-08-30 15:44:04.397396,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,343,tonnes,annual,2022-08-30 15:44:04.39903,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,343,tonnes,annual,2022-08-30 15:44:04.399055,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,343,tonnes,annual,2022-08-30 15:44:04.399063,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,4697,tonnes,annual,2022-08-30 15:44:04.400684,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,4697,tonnes,annual,2022-08-30 15:44:04.40071,
BIH,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,4697,tonnes,annual,2022-08-30 15:44:04.400719,
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,1925,tonnes,annual,2022-08-30 15:44:04.402354,
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,1925,tonnes,annual,2022-08-30 15:44:04.402379,
BRB,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,1925,tonnes,annual,2022-08-30 15:44:04.402388,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,63053,tonnes,annual,2022-08-30 15:44:04.404004,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,63053,tonnes,annual,2022-08-30 15:44:04.404029,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,63053,tonnes,annual,2022-08-30 15:44:04.404037,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,39900,tonnes,annual,2022-08-30 15:44:04.405644,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,39900,tonnes,annual,2022-08-30 15:44:04.40567,
