iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AND,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.491972,
NIC,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_100yr,49,tonnes,annual,2022-08-30 15:43:48.634469,
NIC,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_20yr,49,tonnes,annual,2022-08-30 15:43:48.634473,
NIC,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2,37,tonnes,annual,2022-08-30 15:43:48.634587,
NIC,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_100yr,37,tonnes,annual,2022-08-30 15:43:48.634602,
NIC,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_20yr,37,tonnes,annual,2022-08-30 15:43:48.634607,
NLD,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,14413,tonnes,annual,2022-08-30 15:43:48.634714,
NLD,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,14413,tonnes,annual,2022-08-30 15:43:48.634728,
NLD,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,14413,tonnes,annual,2022-08-30 15:43:48.634733,
NLD,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,12586,tonnes,annual,2022-08-30 15:43:48.634846,
NLD,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,12586,tonnes,annual,2022-08-30 15:43:48.634863,
NLD,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,12586,tonnes,annual,2022-08-30 15:43:48.634867,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,12586,tonnes,annual,2022-08-30 15:43:48.634978,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,12586,tonnes,annual,2022-08-30 15:43:48.634994,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,12586,tonnes,annual,2022-08-30 15:43:48.634998,
NLD,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,14152,tonnes,annual,2022-08-30 15:43:48.635114,
NLD,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_100yr,14152,tonnes,annual,2022-08-30 15:43:48.635127,
NLD,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_20yr,14152,tonnes,annual,2022-08-30 15:43:48.635133,
NLD,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2,14152,tonnes,annual,2022-08-30 15:43:48.635241,
NLD,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_100yr,14152,tonnes,annual,2022-08-30 15:43:48.635254,
NLD,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_20yr,14152,tonnes,annual,2022-08-30 15:43:48.635259,
NLD,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2,13869,tonnes,annual,2022-08-30 15:43:48.635374,
NLD,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_100yr,13869,tonnes,annual,2022-08-30 15:43:48.635388,
NLD,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_20yr,13869,tonnes,annual,2022-08-30 15:43:48.635393,
NLD,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2,13981,tonnes,annual,2022-08-30 15:43:48.635505,
NLD,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_100yr,13981,tonnes,annual,2022-08-30 15:43:48.63552,
NLD,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_20yr,13981,tonnes,annual,2022-08-30 15:43:48.635524,
NOR,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,4147,tonnes,annual,2022-08-30 15:43:48.635634,
NOR,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,4147,tonnes,annual,2022-08-30 15:43:48.635647,
NOR,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,4147,tonnes,annual,2022-08-30 15:43:48.635651,
NOR,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,4350,tonnes,annual,2022-08-30 15:43:48.635766,
NOR,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,4350,tonnes,annual,2022-08-30 15:43:48.63578,
NOR,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,4350,tonnes,annual,2022-08-30 15:43:48.635786,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,4350,tonnes,annual,2022-08-30 15:43:48.635907,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,4350,tonnes,annual,2022-08-30 15:43:48.635923,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,4350,tonnes,annual,2022-08-30 15:43:48.635927,
NOR,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,3915,tonnes,annual,2022-08-30 15:43:48.636042,
NOR,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_100yr,3915,tonnes,annual,2022-08-30 15:43:48.636058,
NIC,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.634598,
NLD,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.634723,
NLD,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.634855,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.634989,
NLD,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635123,
NLD,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.63525,
NLD,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635383,
NLD,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635514,
NOR,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635642,
NOR,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635775,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.635918,
NOR,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636051,
NOR,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_20yr,3915,tonnes,annual,2022-08-30 15:43:48.636063,
NOR,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2,4138,tonnes,annual,2022-08-30 15:43:48.636182,
NOR,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_100yr,4138,tonnes,annual,2022-08-30 15:43:48.636196,
NOR,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_20yr,4138,tonnes,annual,2022-08-30 15:43:48.6362,
NOR,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2,4056,tonnes,annual,2022-08-30 15:43:48.636313,
NOR,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_100yr,4056,tonnes,annual,2022-08-30 15:43:48.636326,
NOR,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_20yr,4056,tonnes,annual,2022-08-30 15:43:48.63633,
NOR,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2,4007,tonnes,annual,2022-08-30 15:43:48.636443,
NOR,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_100yr,4007,tonnes,annual,2022-08-30 15:43:48.636459,
NOR,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_20yr,4007,tonnes,annual,2022-08-30 15:43:48.636463,
NPL,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.636577,
NPL,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.636591,
NPL,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.636595,
NPL,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.636714,
NPL,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.636728,
NPL,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.636732,
NPL,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.63685,
NPL,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.636866,
NPL,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.636871,
NPL,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.636981,
NPL,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.636995,
NPL,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.636999,
NPL,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637112,
NPL,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.637126,
NPL,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.63713,
NPL,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637239,
NPL,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.637254,
NPL,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.63726,
NPL,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637373,
NPL,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.637386,
NPL,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.637392,
NRU,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637499,
NRU,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.637512,
NRU,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.637517,
NRU,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637627,
NRU,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.63764,
NRU,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.637645,
NOR,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636191,
NOR,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636321,
NOR,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636452,
NPL,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636586,
NPL,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636723,
NPL,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.636859,
NPL,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.63699,
NPL,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.637121,
NPL,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.637249,
NPL,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.637381,
NRU,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.637508,
NRU,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,0,tonnes,annual,2022-08-30 15:43:48.637636,
NRU,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.63776,
NRU,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2022-08-30 15:43:48.637774,
NRU,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2022-08-30 15:43:48.637778,
NRU,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2022-08-30 15:43:48.637888,
