iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,ch4,487,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,co2e_100yr,13636,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,co2e_20yr,40908,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,solid-waste-disposal,co2e_20yr,41244,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,solid-waste-disposal,ch4,21000,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,solid-waste-disposal,co2e_100yr,588000,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,solid-waste-disposal,co2e_20yr,1764000,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,solid-waste-disposal,ch4,21800,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,solid-waste-disposal,co2e_100yr,610400,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,solid-waste-disposal,co2e_20yr,1831200,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,ch4,22600,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,co2e_100yr,632800,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,solid-waste-disposal,co2e_20yr,1898400,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,solid-waste-disposal,ch4,23200,tonnes,annual,2022-09-06 12:39:52.76017,2022-10-20 18:29:56.869095
