iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ALB,2015-01-01 00:00:00,2015-12-31 00:00:00,steel,co2,253056,tonnes,annual,2022-09-01 10:21:52.580426,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,95906,tonnes,annual,2022-09-01 10:21:52.688532,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_100yr,95906,tonnes,annual,2022-09-01 10:21:52.688547,
NGA,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_20yr,95906,tonnes,annual,2022-09-01 10:21:52.688551,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,10393703,tonnes,annual,2022-09-01 10:21:52.688793,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_100yr,10393703,tonnes,annual,2022-09-01 10:21:52.688808,
NLD,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_20yr,10393703,tonnes,annual,2022-09-01 10:21:52.688813,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,270713,tonnes,annual,2022-09-01 10:21:52.688878,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_100yr,270713,tonnes,annual,2022-09-01 10:21:52.688893,
NOR,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_20yr,270713,tonnes,annual,2022-09-01 10:21:52.688898,
NZL,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,295006,tonnes,annual,2022-09-01 10:21:52.689155,
NZL,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_100yr,295006,tonnes,annual,2022-09-01 10:21:52.689171,
NZL,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_20yr,295006,tonnes,annual,2022-09-01 10:21:52.689176,
OMN,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,513805,tonnes,annual,2022-09-01 10:21:52.689246,
OMN,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_100yr,513805,tonnes,annual,2022-09-01 10:21:52.689261,
OMN,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2e_20yr,513805,tonnes,annual,2022-09-01 10:21:52.689266,
PAK,2017-01-01 00:00:00,2017-12-31 00:00:00,steel,co2,4727340,tonnes,annual,2022-09-01 10:21:52.689333,
