iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
XKX,2015-01-01 00:00:00,2015-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2015-01-01 00:00:00,2015-12-31 00:00:00,wastewater-treatment-and-discharge,co2,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2015-01-01 00:00:00,2015-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2015-01-01 00:00:00,2015-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2015-01-01 00:00:00,2015-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2017-01-01 00:00:00,2017-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,wastewater-treatment-and-discharge,co2,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2018-01-01 00:00:00,2018-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,wastewater-treatment-and-discharge,co2,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2019-01-01 00:00:00,2019-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
XKX,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-07 09:56:37.90632,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
ALB,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ARE,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ARM,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ATG,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
ATF,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,,tonnes,,2022-09-06 12:39:52.76017,
ATF,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
AUS,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
AZE,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BDI,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BEL,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BEN,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BFA,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BES,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,,tonnes,,2022-09-06 12:39:52.76017,
BES,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,,tonnes,,2022-09-06 12:39:52.76017,
BES,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,,tonnes,,2022-09-06 12:39:52.76017,
BES,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,,tonnes,,2022-09-06 12:39:52.76017,
BES,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,,tonnes,,2022-09-06 12:39:52.76017,
BGD,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BGR,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BHR,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BHS,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BIH,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BLR,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BLZ,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BMU,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2022-09-06 12:39:52.76017,
BMU,2020-01-01 00:00:00,2020-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,0,tonnes,,2022-09-06 12:39:52.76017,
