sector_id,sector
1,cropland-fires
2,enteric-fermentation
3,manure-management
4,other-agricultural-soil-emissions
5,rice-cultivation
6,synthetic-fertilizer-application
7,other-onsite-fuel-usage
8,residential-and-commercial-onsite-fuel-usage
9,fluorinated-gases
10,coal-mining
11,oil-and-gas-production-and-transport
12,oil-and-gas-refining
13,other-fossil-fuel-operations
14,solid-fuel-transformation
15,aluminum
16,cement
17,chemicals
18,other-manufacturing
19,pulp-and-paper
20,steel
21,bauxite-mining
22,copper-mining
23,iron-mining
24,rock-quarrying
25,sand-quarrying
26,electricity-generation
27,other-energy-use
28,biological-treatment-of-solid-waste-&-biogenic
29,incineration-and-open-burning-of-waste
30,solid-waste-disposal
31,wastewater-treatment-and-discharge
